no,sut,nama_komoditas,prov,wilayah,tahun_analisis,tipe_lahan,lokasi,tipe_landuse,sampingan,siklus tanam
149,AGROFORESTRI,KELAPA AF,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,KEBUN,UBAH NAMA,
150,MONOKULTUR,JAGUNG,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,KEBUN,UBAH NAMA,
151,MONOKULTUR,KARET,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,KEBUN,UBAH NAMA,
152,MONOKULTUR,KELAPA SAWIT,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,KEBUN,UBAH NAMA,
153,MONOKULTUR,LADA,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,KEBUN,UBAH NAMA,
154,MONOKULTUR,PADI DRYLAND,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,SAWAH,UBAH NAMA,
155,MONOKULTUR,PADI WETLAND,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,SAWAH,UBAH NAMA,
156,MONOKULTUR,SENGON,KALIMANTAN TIMUR,KUTAI TIMUR,2015,MINERAL,KUTAI TIMUR,KEBUN,UBAH NAMA,
157,AGROFORESTRI,JATI AF,KALIMANTAN TIMUR,PASER,2015,MINERAL,PASER,KEBUN,,
158,AGROFORESTRI,KEBUN CAMPUR AF,KALIMANTAN TIMUR,PASER,2015,MINERAL,PASER,KEBUN,,
159,AGROFORESTRI,KELAPA AF,KALIMANTAN TIMUR,PASER,2015,MINERAL,PASER,KEBUN,,
160,MONOKULTUR,JAGUNG,KALIMANTAN TIMUR,PASER,2015,MINERAL,PASER,KEBUN,,
161,MONOKULTUR,KARET,KALIMANTAN TIMUR,PASER,2015,MINERAL,PASER,KEBUN,,
162,MONOKULTUR,KELAPA SAWIT,KALIMANTAN TIMUR,PASER,2015,MINERAL,PASER,KEBUN,,
163,MONOKULTUR,PADI DRYLAND,KALIMANTAN TIMUR,PASER,2015,MINERAL,PASER,SAWAH,,
164,MONOKULTUR,PADI WETLAND,KALIMANTAN TIMUR,PASER,2015,MINERAL,PASER,SAWAH,,
165,AGROFORESTRI,LOGGING AF,PAPUA,PAPUA,2013,MINERAL,,KEBUN,,
166,MONOKULTUR,COKLAT,PAPUA,PAPUA,2013,MINERAL,,KEBUN,,
167,MONOKULTUR,KELAPA SAWIT,PAPUA,PAPUA,2013,MINERAL,,KEBUN,,
168,MONOKULTUR,KELAPA,PAPUA,PAPUA,2013,MINERAL,,KEBUN,,
169,MONOKULTUR,PADI,PAPUA,PAPUA,2013,MINERAL,,SAWAH,,
170,MONOKULTUR,PINANG,PAPUA,PAPUA,2013,MINERAL,,KEBUN,,
171,MONOKULTUR,SAGU,PAPUA,PAPUA,2013,MINERAL,,KEBUN,,
172,AGROFORESTRI,COKLAT AF,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BANTAENG,KEBUN,"KOPI ROBUSTA, DURIAN, LANGSAT, PISANG",
173,AGROFORESTRI,KEBUN CAMPUR AF,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BANTAENG,KEBUN,"COKLAT, KOPI, DURIAN, LANGSAT, PISANG, CENGKEH",
174,AGROFORESTRI,KELAPA AF,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BULUKUMBA,KEBUN,"COKLAT, JAGUNG",
175,MONOKULTUR,CENGKEH,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BANTAENG,KEBUN,,
176,MONOKULTUR,KAPUK,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BANTAENG,KEBUN,,
